Position,Track Name,Artist,date,region,id
36,Levitate,Twenty One Pilots,8/15/2018,ar,0bfKYrMLEDJ4fvcxzrMIwB
37,WORKIN ME,Quavo,8/15/2018,ar,33tNYw9oMtSkGe27NpgS64
38,Árabe,Papichamp,8/15/2018,ar,58qmrrvUkA09szrox83VDp
39,Bird's Lament - Original Mix,Moondog,8/15/2018,ar,4VarGm0Onf9YzCRuX76ifk
40,Gimme! Gimme! Gimme! (A Man After Midnight),Cher,8/15/2018,ar,6dRj3dDseKfeIBfBMRboGN
41,Mi Última Canción (feat. Reik),Lali,8/15/2018,ar,1bYlEvCQVPNKXU4MmhByR6
42,In My Feelings,Drake,8/15/2018,ar,2G7V7zsVDxg1yRsu7Ew9RJ
43,Mi Llamada,Rauw Alejandro,8/15/2018,ar,4Q41paYcm3GNVETL6w6pPo
44,Desde el papel,202,8/15/2018,ar,0OjH3wL7mfIP7RQEgtihCt
45,Casi un G,Ysy A,8/15/2018,ar,0CEuRbdXmopiGOI1ZALzLz
46,Toda - Remix,Alex Rose,8/15/2018,ar,7nD2JPaxIKUdxd2UWgnaGL
47,Little Bitty Pretty One,Thurston Harris,8/15/2018,ar,2yOXKIU9YtBSWjI3OA8tqj
48,False Start,Oriana,8/15/2018,ar,4amn0f6DHgNmt38C3OBSGX
49,Sin Pijama,Becky G,8/15/2018,ar,2ijef6ni2amuunRoKTlgww
50,Melodía de Extrañar,Lara Pedrosa,8/15/2018,ar,5R332yPmr1HnfvevX73Tb0
1,Cuando Te Besé,Becky G,9/15/2018,ar,2XXMDz7SPZ4mSFN1PXfHUy
2,Celoso,Lele Pons,9/15/2018,ar,33zcmmElV1YbRZe57biUjg
3,Quiere Beber,Anuel Aa,9/15/2018,ar,3rPAD722s5FFNnwjC91t7Z
4,Mala Mía,Maluma,9/15/2018,ar,62o8KoI44JfN7aYxgTnPvh
5,PURPURA,WOS,9/15/2018,ar,0RHazYjaRGLIYPvn6mtRWY
6,Toda - Remix,Alex Rose,9/15/2018,ar,7nD2JPaxIKUdxd2UWgnaGL
7,Ya No Tiene Novio,Sebastian Yatra,9/15/2018,ar,7uQmJ1jgNzBpATSoWKSPFu
