Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
178,Versace On The Floor,Bruno Mars,2261,1/6/2017,pt,0kN8xEmgMW9mh7UmDYHlJP,spotify:track:0kN8xEmgMW9mh7UmDYHlJP,,,,,,
16,Jingle Bell Rock,Anita Kerr Singers,2261,12/8/2017,sk,4IdXngKo4g5exqZ0fQTecu,spotify:track:4IdXngKo4g5exqZ0fQTecu,,,,,,
71,Deja vu,Prince Royce,2261,6/9/2017,uy,46HdsiK0uR26B2dY9QPzda,spotify:track:46HdsiK0uR26B2dY9QPzda,,,,,,
198,Take Me To Church,Hozier,2260,3/3/2017,cr,0IqKeD8ZSP72KbGYyzEcAs,spotify:track:0IqKeD8ZSP72KbGYyzEcAs,,,,,,
199,El Perdedor - The Remix,Maluma,2260,3/3/2017,cr,4QsPTKvdpgkA7mBAvclZTa,spotify:track:4QsPTKvdpgkA7mBAvclZTa,,,,,,
30,Me Llamas (feat. Maluma) - Remix,Piso 21,2260,5/12/2017,sv,5hEM0JchdVzQ5PwvSfITeX,spotify:track:5hEM0JchdVzQ5PwvSfITeX,,,,,,
58,Redbone,Childish Gambino,2260,7/7/2017,hu,3kxfsdsCpFgN412fpnW85Y,spotify:track:3kxfsdsCpFgN412fpnW85Y,,,,,,
7,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,2260,7/7/2017,mt,3DXncPQOG4VBw3QHh3S817,spotify:track:3DXncPQOG4VBw3QHh3S817,,,,,,
62,Traicionera,Sebastian Yatra,2260,8/4/2017,pa,5J1c3M4EldCfNxXwrwt8mT,spotify:track:5J1c3M4EldCfNxXwrwt8mT,,,,,,
162,do re mi,blackbear,2260,4/14/2017,pt,3Q3myFA7q4Op95DOpHplaY,spotify:track:3Q3myFA7q4Op95DOpHplaY,,,,,,
84,Si Tu Novio Te Deja Sola,J Balvin,2260,9/1/2017,uy,0RFFFGtPn6a58RHY3ccVYX,spotify:track:0RFFFGtPn6a58RHY3ccVYX,,,,,,
187,In meiner Wolke,RAF Camora,2259,9/1/2017,at,7qJVGbGjDDXEgirD3JwaQP,spotify:track:7qJVGbGjDDXEgirD3JwaQP,,,,,,
140,Broccoli (feat. Lil Yachty),DRAM,2259,1/6/2017,cr,7yyRTcZmCiyzzJlNzGC9Ol,spotify:track:7yyRTcZmCiyzzJlNzGC9Ol,,,,,,
109,Ginza,J Balvin,2259,1/6/2017,ec,5N8nNuTmIzkZOfcxXlygUw,spotify:track:5N8nNuTmIzkZOfcxXlygUw,,,,,,
1,Shape of You,Ed Sheeran,2259,1/6/2017,lu,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,,,,,,
141,Hear Me Now,Alok,2258,1/6/2017,cr,1a5Yu5L18qNxVhXx38njON,spotify:track:1a5Yu5L18qNxVhXx38njON,,,,,,
192,Send My Love (To Your New Lover),Adele,2258,5/12/2017,cr,4BHzQ9C00ceJxfG16AlNWb,spotify:track:4BHzQ9C00ceJxfG16AlNWb,,,,,,
