Position,Track Name,Artist,Streams,date,region,id,uri,happiness,energy,danceability,loudness,speechiness,instrumentalness
170,Water Under the Bridge,Adele,20065,4/14/2017,se,4vb4mFvYsr2h6enhjJsq9Y,spotify:track:4vb4mFvYsr2h6enhjJsq9Y,0.472,0.838,0.596,-6.52,0.0704,1.54E-05
94,Bailame despacio - Piso 21 Remix,Xantos,20064,7/7/2017,cl,7LFLJWIQFHsaDw5FOltT5Z,spotify:track:7LFLJWIQFHsaDw5FOltT5Z,0.716,0.824,0.632,-3.018,0.0491,0
138,Carry On,XXXTENTACION,20064,9/1/2017,it,2yZax79pOrYuyIFVW2cZY2,spotify:track:2yZax79pOrYuyIFVW2cZY2,0.383,0.197,0.735,-13.378,0.537,0.000276
186,Love Me Instead,Moira Dela Torre,20062,11/24/2017,ph,62WcCjrcvRvRCixFFUPFbl,spotify:track:62WcCjrcvRvRCixFFUPFbl,0.651,0.399,0.639,-7.351,0.062,0
171,Sin Contrato - Remix,Maluma,20062,8/4/2017,es,2xNZeeqmwMPVKnD7FSQfgt,spotify:track:2xNZeeqmwMPVKnD7FSQfgt,0.661,0.907,0.733,-4.002,0.158,1.13E-06
129,Vi är inte längre där,kent,20059,1/6/2017,se,54DEdGLgtE60M6AHrGPkx5,spotify:track:54DEdGLgtE60M6AHrGPkx5,0.114,0.743,0.519,-7.226,0.0412,0.000633
184,Ain't My Fault,Zara Larsson,20057,7/7/2017,se,0ADG9OgdVTL7fgREP75BrZ,spotify:track:0ADG9OgdVTL7fgREP75BrZ,0.355,0.782,0.576,-4.825,0.0296,0
63,Perfect,Ed Sheeran,20053,5/12/2017,dk,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,0.168,0.448,0.599,-6.312,0.0232,0
172,Fetty Wap,Boef,20053,5/12/2017,nl,75gJj5hYRFOi5LKCstPcaD,spotify:track:75gJj5hYRFOi5LKCstPcaD,0.861,0.751,0.738,-4.876,0.104,0
196,Blem,Drake,20052,9/1/2017,ca,2XlHu0HcujBCkWMdIAvrqt,spotify:track:2XlHu0HcujBCkWMdIAvrqt,0.392,0.548,0.724,-8.062,0.0497,7.40E-06
180,Back To Back,Drake,20051,3/3/2017,ca,5lFDtgWsjRJu8fPOAyJIAK,spotify:track:5lFDtgWsjRJu8fPOAyJIAK,0.373,0.472,0.635,-3.869,0.511,0
197,Disrespectful,GASHI,20051,7/7/2017,ca,0dvu4Irbq0SM5BWny30rRR,spotify:track:0dvu4Irbq0SM5BWny30rRR,0.142,0.547,0.71,-8.215,0.0691,6.04E-05
77,Shed a Light,Robin Schulz,20051,1/6/2017,cl,1cG0umU5TKStygKsPFZ9pY,spotify:track:1cG0umU5TKStygKsPFZ9pY,0.58,0.787,0.483,-5.244,0.102,0
186,Go Flex,Post Malone,20050,9/1/2017,au,5yuShbu70mtHXY0yLzCQLQ,spotify:track:5yuShbu70mtHXY0yLzCQLQ,0.127,0.498,0.665,-8.185,0.0831,0
198,Candy Paint,Post Malone,20050,11/24/2017,it,42CeaId2XNlxugDvyqHfDf,spotify:track:42CeaId2XNlxugDvyqHfDf,0.434,0.688,0.765,-5.566,0.0841,0
172,Por Fin Te Encontré,Cali Y El Dandee,20049,8/4/2017,es,3GpvoKKWZyTwgbLEM9RmWM,spotify:track:3GpvoKKWZyTwgbLEM9RmWM,0.845,0.826,0.641,-3.69,0.223,0
194,Fiebre - Prod. King DouDou,Bad Gyal,20048,11/24/2017,es,5xtxxuIqInrLDSfjA6Co3o,spotify:track:5xtxxuIqInrLDSfjA6Co3o,0.24,0.72,0.421,-6.257,0.0571,0
